סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,
4,1417,לבנים,1230,1,2,0,322,240,0,240,23,0,1,0,0,0,15,0,0,0,0,0,0,0,0,4,92,1,0,0,0,0,97,0,0,0,0,0,0,7,
4,1421,מצפה,58,1,1,0,130,92,0,92,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,26,1,0,0,0,0,49,0,0,0,0,0,0,0,
4,1429,אפיק,4301,1,1,0,259,176,0,176,34,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,21,0,0,0,3,0,101,0,0,0,0,0,0,0,
4,1433,גשור,4022,1,1,0,220,153,2,151,14,0,0,5,0,0,2,0,0,0,0,0,0,0,0,11,30,0,0,0,1,0,86,0,0,0,0,0,0,2,
4,1434,האון,702,1,1,0,154,87,1,86,20,2,0,1,0,0,2,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,40,0,0,0,0,0,0,4,
4,1442,מיצר,4019,1,1,0,125,90,0,90,13,0,2,1,0,0,5,0,0,0,0,0,0,0,0,3,8,0,0,0,1,0,57,0,0,0,0,0,0,0,
4,1443,מעגן,678,1,3,0,328,219,1,218,29,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,29,0,0,0,0,0,139,0,0,0,0,0,0,2,
4,1451,תל קציר,719,1,1,0,311,221,1,220,45,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,22,0,0,0,1,0,131,0,0,0,0,0,0,1,
5,1490,דברת,407,1,1,0,327,230,2,228,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,24,0,1,0,0,0,164,0,0,0,0,0,0,4,
5,1573,אדירים,113,1,1,0,233,183,0,183,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,10,0,0,0,0,0,0,58,
