שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
קצרין,4100,2897,1715,7,1708,78,16,1,0,1,0,1,184,0,2,0,1,0,14,0,54,311,616,27,2,0,0,340,0,2,2,0,0,1,1,0,54
קרית טבעון,2300,3594,2486,5,2481,272,36,18,1,1,0,6,67,0,5,0,0,0,0,0,13,103,375,367,0,0,0,1191,4,0,0,0,1,0,0,1,20
רווחה,2051,426,347,0,347,8,2,0,0,0,0,55,12,0,0,0,0,0,0,0,9,4,189,0,0,0,0,9,0,1,1,0,0,0,0,0,57
רמת השרון,2650,2351,1688,5,1683,137,26,2,0,0,0,1,36,0,2,0,0,0,0,0,12,40,283,219,0,0,0,893,0,0,0,0,0,1,0,1,30
שוהם,1304,967,751,0,751,45,1,0,0,0,0,1,76,0,1,0,0,0,0,0,4,35,170,45,0,0,0,366,0,0,0,0,0,0,0,0,7
שלוחות,439,356,257,1,256,23,5,0,0,0,0,1,129,0,0,0,0,0,0,0,4,1,50,1,0,0,0,40,0,0,0,0,0,0,0,0,2
תלמי יפה,744,491,359,0,359,37,0,1,0,0,0,7,29,0,0,0,0,0,0,0,4,17,83,16,0,0,0,165,0,0,0,0,0,0,0,0,0
אבו קורינאת שבט,968,2226,927,9,918,9,0,837,0,1,0,0,2,0,1,0,1,0,0,1,0,1,4,6,0,4,0,43,1,0,0,0,0,1,3,0,3
אטרש שבט,965,515,173,1,172,0,0,130,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,2,0,2,0,28,0,0,1,0,0,0,1,0,1
אפרת,3650,2429,1769,6,1763,29,20,0,1,0,0,0,1059,0,3,0,1,0,0,0,108,15,394,6,0,0,0,110,3,1,0,0,0,0,0,0,13
בית גמליאל,571,379,292,0,292,10,4,0,0,0,0,1,155,0,0,0,0,0,0,0,18,3,68,1,0,0,0,18,1,0,0,0,0,0,0,0,13
בית קשת,365,480,353,0,353,57,0,1,0,2,0,0,4,0,2,0,0,0,0,0,1,5,19,125,0,0,0,137,0,0,0,0,0,0,0,0,0
בן שמן מושב,2013,582,444,1,443,35,2,1,0,0,0,12,9,0,2,0,0,0,0,0,3,6,99,32,0,0,0,233,0,0,0,0,2,0,0,1,6
בני עיש,1066,425,247,4,243,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,129,61,0,0,0,0,44,0,0,0,0,0,0,0,0,3
גבע בנימין,3763,605,428,2,426,6,8,0,0,0,0,0,56,0,0,0,0,1,0,0,52,16,191,3,0,0,0,34,0,0,0,0,0,1,0,1,57
גבעת זאב,3730,1678,1212,3,1209,32,136,2,1,0,0,1,143,0,1,0,0,0,0,0,68,38,445,5,0,0,0,141,0,1,0,0,0,0,0,0,195
גבעת עוז,703,406,272,1,271,40,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,10,20,53,0,0,0,136,1,0,0,0,0,0,0,0,0
גיניגר,92,536,384,2,382,64,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,12,31,81,0,0,0,187,0,0,1,0,0,0,0,0,0
גשור,4022,222,153,0,153,10,0,0,2,0,0,1,6,0,1,0,0,0,0,0,0,13,18,13,0,0,0,85,0,0,1,0,0,0,0,1,2
גת רימון,128,198,147,0,147,13,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,29,15,1,1,0,66,0,0,0,0,0,0,0,0,3
דובב,1067,359,249,0,249,16,0,1,0,0,0,5,6,0,0,0,0,0,0,0,3,0,174,1,0,0,0,17,0,0,0,0,0,0,0,0,26
הושעיה,1186,706,555,0,555,29,1,0,1,0,0,1,285,1,0,0,0,0,0,0,10,5,99,6,1,0,0,106,0,0,0,0,0,0,0,0,10
הרצליה,6400,2946,1681,11,1670,109,15,6,0,0,0,1,66,0,5,0,0,0,0,0,21,115,457,99,0,1,0,673,0,2,0,0,0,0,0,0,100
זכרון יעקב,9300,2796,2044,4,2040,87,311,2,2,0,0,2,104,0,1,0,0,0,0,0,30,69,271,166,0,0,0,747,0,0,0,0,0,0,0,2,246
זרזיר,975,1556,678,7,671,14,3,296,0,1,0,0,1,0,0,1,0,0,1,2,1,3,54,38,1,1,0,244,0,1,1,1,1,2,1,1,2
חדיד,618,604,483,0,483,18,10,0,0,0,0,27,38,1,1,0,0,0,0,0,35,2,224,8,0,0,0,74,0,0,0,0,0,0,0,0,45
חרשים,1209,223,172,0,172,20,2,9,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,81,0,0,0,53,0,0,0,0,0,0,0,0,0
טורעאן,498,776,505,4,501,0,0,494,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
טמרה יזרעאל,547,532,295,3,292,2,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,7,0,1,0,0,0,0,0,0,0
יהודמונוסון,9400,1214,931,4,927,94,6,1,1,0,0,1,45,0,2,0,0,0,0,0,13,32,292,26,0,0,0,390,0,0,0,0,1,0,1,0,22
יכיני,811,470,371,0,371,22,1,0,1,0,0,7,24,0,0,0,0,0,0,0,16,4,227,2,0,0,0,29,0,0,0,0,0,0,0,0,38
יקנעם עילית,240,3017,1903,18,1885,88,23,1,1,2,0,2,72,0,6,0,1,1,0,1,20,416,687,33,0,0,0,420,1,5,0,0,1,2,1,2,99
כנרת מושבה,63,522,363,2,361,33,3,2,1,0,0,0,12,0,0,0,0,0,0,0,0,7,110,21,0,0,0,170,0,0,0,0,0,0,0,2,0
כפר אחים,690,534,421,1,420,16,7,0,0,0,0,23,22,0,1,1,0,0,0,0,6,10,116,9,0,0,0,200,0,0,0,0,0,0,0,0,9
